electric,72,2/10/23 13:24,29,1,Y8Msbpd3ldTkoFW2n7sd
watering,1165,2/23/23 9:06,27,2,XjLKjp7K8q4XIAKkB7ws
gardening,476,1/12/23 3:27,11,3,ZrQSWXFpaBiPpubDdWrv
watering,80,2/1/23 6:25,13,4,eGLTS8f6WuGgzDv0pi9a
electric,709,2/8/23 19:46,21,5,zz6T3NyH1mLPEgkkvlhN
watering,856,2/16/23 8:31,18,6,s6hi3J8N1GpMT0k2R4mu
gardening,907,2/20/23 5:47,28,7,4B5vI4gVMn9pmRr1JEVy
watering,457,2/3/23 5:37,15,8,9ZEa1OWJKBptfdFk5V8o
electric,876,1/21/23 8:37,22,9,MBeoRSk203VRPw3GNSY6
computer & internet,1045,3/10/23 5:19,14,10,0KaYL7emyjn5Zlxsm4uU
computer & internet,1268,1/12/23 5:08,20,11,K2r3SEd200wTZqWLbXQ2
electric,1046,2/2/23 10:37,26,12,XeaNCSmQtQiXePiyHdJ3
computer & internet,1356,1/11/23 12:19,13,13,67C09BuwXXdMw7MxHBjM
gardening,897,3/2/23 0:17,29,14,pSWO2Roi3KPfBWubIhh4
electric,1233,3/2/23 17:27,25,15,yA2fOxXCJ3Bxk1lOaEEL